,Geschlecht,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pl1,pl2,pl3,pl4,pl5,pl6,pl7,pl8,pl9,pl10,pl11,pl12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
83,1,6,2,6,5,6,1,5,5,2,6,1,5,2,2,5,1,2,2,4,3,4,2,2,3,3,2,1,3,4,5,3,3,3,3,2,3
84,1,4,3,3,4,3,3,4,4,3,5,3,3,3,3,4,1,3,1,1,2,4,2,2,5,4,3,2,4,3,4,3,4,2,2,4,3
85,1,3,2,3,3,2,3,3,2,2,4,3,3,1,2,4,1,2,2,1,5,6,1,1,5,5,1,1,5,3,5,3,2,2,4,2,1
86,2,3,4,3,4,2,3,2,3,3,3,5,3,2,1,5,3,5,2,1,5,5,2,1,6,5,4,4,2,4,3,2,2,4,4,3,2
87,1,6,2,4,5,5,3,4,5,1,6,2,5,2,1,5,2,2,3,1,3,5,1,2,4,3,1,1,2,4,5,2,2,3,4,2,3
88,1,4,4,4,6,3,2,3,4,3,5,3,4,2,3,5,3,4,1,1,3,5,1,2,6,3,3,2,1,5,5,2,4,1,4,1,2
89,1,4,3,6,5,1,3,2,2,3,5,3,4,2,3,4,2,3,1,1,3,5,2,2,5,6,2,1,3,5,3,2,2,2,3,2,3
90,1,5,2,5,4,4,3,5,2,3,5,2,5,2,2,4,3,2,2,2,3,3,2,3,5,2,1,1,2,5,5,2,2,2,4,2,3
91,2,3,2,4,5,4,2,2,5,3,5,4,4,2,2,4,3,5,1,5,2,5,2,3,6,5,1,1,4,4,6,2,3,2,6,3,1
92,1,6,2,3,5,3,2,4,4,1,6,1,5,3,2,4,1,2,2,2,3,3,1,2,4,3,4,3,3,4,3,2,3,2,3,2,2
93,1,5,3,6,5,4,2,5,5,3,5,2,4,1,2,2,1,3,1,1,3,5,3,2,4,2,3,1,1,5,4,3,3,2,3,4,2
94,1,4,1,5,4,4,1,5,4,1,6,3,5,1,3,5,2,2,1,2,3,3,1,2,5,3,3,1,2,5,4,3,2,1,4,2,2
95,2,5,2,5,3,6,3,6,5,2,3,2,5,2,2,2,2,3,3,2,3,5,2,2,5,3,3,1,1,5,5,2,2,2,4,3,2
96,1,6,2,6,5,5,1,5,6,1,6,2,6,2,5,4,3,1,2,1,3,4,2,1,4,3,3,2,3,3,5,3,2,2,4,2,3
97,1,5,2,4,4,3,3,3,5,3,5,2,4,1,3,5,1,2,2,3,4,4,1,3,3,3,2,3,2,3,4,2,2,1,4,3,3
98,1,5,1,4,4,4,2,5,5,1,6,2,5,1,5,6,2,1,1,1,1,5,1,1,5,3,1,1,3,5,5,3,2,1,5,3,2
99,1,5,5,5,5,3,2,4,5,3,5,4,3,2,3,4,2,4,2,2,2,5,2,2,4,2,3,2,2,5,5,2,2,1,4,2,2
100,1,5,1,5,3,2,2,3,3,2,4,2,4,3,2,5,1,2,2,2,3,3,1,1,4,4,3,2,2,5,4,2,4,1,4,3,2
101,1,4,3,5,3,4,2,3,4,2,5,1,4,1,1,4,1,3,1,1,2,5,2,2,4,6,1,1,1,5,5,1,3,1,3,3,2
102,1,4,2,4,4,3,3,4,3,3,5,3,5,1,4,5,1,2,1,3,5,5,1,2,4,5,4,4,1,4,4,3,4,2,3,4,3
103,1,4,2,5,4,4,1,4,5,3,4,3,4,3,5,4,1,2,4,2,2,4,3,3,4,3,1,2,1,4,5,3,2,2,5,1,3
104,2,3,6,2,3,2,3,2,2,3,3,5,2,3,5,3,5,4,3,2,4,2,3,3,2,5,3,3,5,3,3,4,4,2,2,4,4
105,1,5,2,5,4,3,2,4,4,2,5,2,5,3,2,5,1,2,2,2,3,4,2,2,4,3,4,4,3,3,3,3,3,2,3,5,2
106,1,3,5,3,2,3,5,2,3,5,3,5,2,3,4,3,3,4,5,5,4,3,3,5,2,1,2,2,4,2,4,5,3,5,3,5,4
107,1,4,3,5,4,2,3,2,2,2,5,3,4,3,2,4,2,3,2,2,2,3,2,2,4,4,4,3,3,2,3,4,4,2,3,5,3
108,2,4,4,4,3,4,1,3,2,3,4,3,4,2,2,5,4,3,1,1,3,2,2,1,6,4,4,4,4,4,4,3,4,3,3,4,1
109,1,4,2,5,4,4,3,4,4,2,4,3,3,1,1,4,1,1,1,3,2,4,1,2,4,3,1,1,1,3,4,2,3,3,3,3,3
110,1,6,2,6,4,6,2,6,5,5,5,1,6,1,3,3,1,3,1,1,1,5,2,2,5,6,1,1,1,6,6,2,2,2,2,1,1
111,1,3,3,4,5,3,2,4,6,4,6,4,3,2,2,5,2,1,1,2,2,5,3,1,5,3,4,3,1,3,3,3,3,1,3,2,3
112,1,6,2,6,4,5,1,5,4,3,5,2,5,1,3,5,1,1,1,1,2,5,2,1,5,6,1,1,1,6,6,2,2,3,5,3,2
113,1,5,4,5,5,4,2,2,3,2,5,2,4,3,3,5,2,3,2,1,2,4,2,3,5,2,2,2,2,3,5,3,2,3,3,4,3
114,1,4,3,5,6,4,3,4,6,2,6,3,5,2,2,4,2,1,2,3,4,4,1,3,4,2,2,1,2,2,3,4,5,2,2,4,4
115,1,5,2,5,3,3,2,2,4,3,3,2,3,2,2,2,5,3,1,1,3,4,2,2,4,3,2,1,2,5,3,2,2,2,5,2,2
116,1,3,2,5,5,4,1,6,5,3,5,5,5,1,5,5,1,2,5,2,4,5,2,2,5,5,1,1,1,5,6,2,2,1,4,2,2
117,1,3,3,3,4,3,3,2,2,2,4,4,3,1,2,4,2,3,2,2,3,4,2,2,5,3,4,2,2,3,3,3,3,2,3,3,4
118,1,4,5,6,4,1,2,1,2,3,4,5,1,3,2,5,2,3,1,2,1,6,2,2,6,3,2,1,4,2,5,5,4,2,1,2,3
119,1,4,4,5,5,4,2,2,4,3,6,3,3,3,3,4,1,1,3,3,6,4,2,3,4,3,2,2,2,3,5,3,3,2,3,4,3
120,1,5,1,5,5,4,1,4,6,2,6,2,5,3,1,6,2,2,1,2,3,6,2,1,5,3,2,2,3,4,4,2,3,1,3,4,3
121,2,4,3,5,4,5,1,5,4,2,5,2,5,1,2,4,2,2,2,2,3,3,2,5,3,5,2,1,3,5,5,2,2,3,4,4,2
122,2,5,3,5,5,6,2,6,4,2,5,2,4,1,1,4,2,2,1,3,3,3,1,1,4,5,1,1,1,5,6,2,2,3,2,4,2
123,1,5,2,5,6,5,3,4,5,2,5,2,4,2,1,4,1,3,1,1,2,4,3,3,5,5,1,1,1,6,6,2,2,1,6,3,2
124,1,5,2,6,5,6,2,5,5,2,5,2,6,2,2,5,2,2,2,1,2,3,2,1,4,3,2,1,2,5,6,2,2,1,5,3,2
125,1,4,2,4,4,4,3,5,3,3,6,3,4,2,1,5,1,2,1,3,3,5,1,2,4,5,2,3,2,5,4,2,2,1,4,2,3
126,1,4,5,3,5,2,3,1,3,3,5,3,4,2,2,5,2,3,1,1,2,3,3,1,3,2,5,3,4,4,2,3,3,1,2,3,4
127,2,5,6,3,3,3,4,2,3,4,3,2,4,4,3,2,6,5,4,3,5,2,3,3,2,2,5,5,4,2,3,4,3,5,3,4,2
128,2,3,1,5,6,5,3,5,5,3,6,3,4,3,3,5,2,2,2,2,3,5,2,2,5,2,3,3,2,4,3,3,4,3,3,3,3
129,1,4,2,5,5,5,1,4,4,1,6,3,4,2,3,4,2,2,1,2,3,4,2,2,5,5,1,1,2,6,6,2,2,1,5,3,2
130,1,5,1,6,6,5,2,4,5,2,6,2,5,1,3,5,1,1,1,2,2,4,2,2,3,2,1,1,1,5,5,2,3,2,3,3,2
131,1,5,1,5,5,4,2,6,5,1,6,2,6,1,1,4,2,2,1,1,1,6,1,1,5,3,2,1,2,4,5,2,3,1,3,3,2
132,2,4,3,5,5,4,3,3,4,1,5,3,3,2,1,4,2,1,3,2,2,3,2,2,3,4,2,2,3,4,4,2,3,2,3,4,2
133,2,5,3,5,5,4,1,4,1,2,5,2,4,2,2,5,1,1,1,1,5,5,2,1,5,2,2,1,1,5,5,1,1,3,3,2,2
134,1,4,3,3,4,2,3,2,4,3,4,4,3,1,1,4,1,3,2,1,3,5,2,1,5,4,3,1,3,4,3,3,3,2,3,4,2
135,1,6,1,6,4,5,2,5,6,2,5,2,6,2,2,5,3,3,4,4,3,6,2,3,4,3,2,2,3,2,4,3,3,5,3,1,5
136,1,4,6,4,2,4,3,1,5,3,4,5,3,3,4,3,2,3,1,2,1,5,3,3,5,5,4,4,4,5,3,2,5,2,2,2,3
137,1,3,4,2,4,2,3,2,3,3,4,5,2,2,2,3,2,3,2,2,2,4,2,2,3,3,3,3,4,3,3,3,3,2,3,4,2
138,2,5,2,6,5,5,2,4,3,1,5,3,5,1,2,4,2,3,3,3,3,5,3,3,4,3,2,1,2,4,5,1,2,3,4,4,1
139,2,3,3,4,3,5,1,3,4,4,6,4,5,3,2,4,2,3,1,1,3,5,3,3,6,2,4,4,2,5,5,4,4,1,4,4,4
140,1,3,4,3,4,3,3,2,2,3,3,3,2,4,3,2,3,3,2,2,3,3,2,3,4,2,4,1,1,5,4,2,3,2,4,3,2
141,1,4,4,5,5,4,2,4,4,3,4,3,4,3,5,4,4,4,4,2,5,5,3,2,4,3,4,3,4,3,3,3,3,2,2,2,3
142,1,3,3,4,3,3,2,4,4,3,4,3,4,2,2,4,2,3,3,2,5,5,3,2,5,4,2,2,3,4,4,2,2,2,4,3,2
143,1,5,2,6,5,5,2,3,4,2,6,2,6,1,2,5,1,1,1,2,3,5,1,1,5,6,1,2,1,5,5,2,1,1,4,3,2
144,2,5,2,3,4,3,4,3,4,3,3,3,5,3,2,4,4,3,3,3,2,4,3,4,3,3,2,4,4,4,4,3,3,3,4,3,3
145,1,3,4,3,4,4,2,3,4,3,4,4,3,1,3,4,1,3,1,1,1,3,2,1,4,5,2,1,4,5,5,2,2,3,4,3,1
146,1,3,4,4,3,5,2,3,3,2,4,5,3,1,2,4,2,2,1,3,1,4,1,2,4,4,2,1,1,5,4,2,2,1,4,4,5
147,2,2,6,2,2,1,5,1,2,5,3,6,2,3,3,3,3,3,3,6,6,4,2,2,1,2,6,5,5,2,2,5,5,4,2,5,5
148,2,3,4,2,2,1,3,5,4,3,2,4,3,4,3,3,4,3,1,2,3,3,3,3,5,3,5,4,4,3,4,4,2,3,2,2,3
149,2,2,1,5,5,3,2,4,4,3,5,5,4,1,3,5,1,2,2,2,4,4,2,3,4,5,2,3,2,4,4,2,3,2,3,2,2
150,1,1,6,1,5,2,3,2,2,3,4,6,1,3,1,5,2,3,1,1,1,6,1,1,5,5,1,2,2,5,6,2,2,1,5,2,1
151,1,6,3,6,4,6,1,4,6,2,5,1,6,2,4,4,2,2,1,3,2,5,2,1,5,2,2,1,2,2,5,4,5,2,4,4,2
152,1,1,2,5,5,5,5,5,5,2,5,2,5,1,1,5,2,2,2,3,2,2,1,1,5,5,2,1,2,5,5,1,5,1,1,2,5
153,1,2,5,2,2,1,5,1,3,4,3,6,1,2,5,4,1,3,2,1,3,5,3,4,2,1,5,6,5,2,1,5,6,3,1,5,6
154,1,3,5,4,5,4,2,3,3,3,5,4,3,2,2,6,1,1,1,3,2,5,1,3,5,5,1,2,1,5,5,2,2,1,4,2,1
155,1,2,1,2,3,1,2,3,2,2,5,3,3,1,1,5,2,2,1,1,2,5,1,1,5,5,4,2,4,3,2,3,5,1,2,3,3
156,1,5,1,6,5,4,2,5,4,2,5,2,4,3,3,5,2,2,2,2,2,3,2,2,4,3,1,2,1,5,5,2,1,1,3,4,2
157,1,3,4,4,4,4,4,3,4,3,4,3,4,4,3,4,3,3,4,4,3,2,4,3,4,3,4,4,4,3,3,3,3,4,4,4,3
158,1,5,4,5,5,4,3,5,4,2,5,3,4,1,3,4,2,2,1,2,1,4,4,2,4,4,4,4,2,3,4,4,3,2,4,3,3
159,1,3,6,2,5,2,2,2,1,3,5,6,3,1,2,6,1,2,1,2,3,6,1,1,5,3,2,3,6,3,6,5,5,4,3,6,4
160,2,3,2,5,5,3,2,4,3,4,3,4,4,1,2,5,2,2,1,2,3,3,3,2,2,5,1,1,1,5,2,3,3,2,2,4,3
