,Geschlecht,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pl1,pl2,pl3,pl4,pl5,pl6,pl7,pl8,pl9,pl10,pl11,pl12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
216,1,5,4,6,5,5,3,4,5,1,6,3,4,1,1,5,1,1,1,4,3,6,1,1,6,5,1,1,2,5,5,1,1,1,3,1,1
217,2,5,1,4,6,5,2,4,5,1,6,3,3,1,2,4,1,2,1,2,1,6,3,2,6,4,3,2,3,3,5,5,5,2,3,3,3
218,1,5,3,6,4,4,2,3,4,2,5,3,5,2,3,4,2,2,1,2,3,3,2,1,3,5,2,1,2,5,5,2,2,1,4,1,1
219,1,5,2,6,5,4,2,5,4,2,6,2,4,2,2,6,1,1,2,3,5,5,2,3,4,3,2,1,2,3,4,4,3,2,2,4,2
220,1,4,1,4,5,5,2,4,5,1,6,3,6,2,1,5,1,2,1,1,2,2,2,3,4,2,3,3,3,2,4,5,4,3,3,4,3
221,2,4,1,5,4,4,2,3,5,1,5,3,5,5,2,4,3,2,3,3,3,4,3,3,4,4,2,2,2,4,5,2,2,2,5,3,2
222,1,4,2,4,4,4,2,4,4,3,5,3,5,2,2,4,1,3,1,2,2,5,1,1,5,4,3,2,1,5,4,2,1,1,4,3,1
223,1,5,4,4,4,4,2,6,6,4,5,3,4,4,3,4,1,2,2,3,3,4,2,2,4,3,3,3,3,4,4,5,5,4,4,4,5
224,2,4,4,5,4,5,5,5,6,5,6,5,5,4,5,5,6,5,4,4,4,6,5,4,5,5,4,4,5,5,5,6,5,5,6,5,6
225,1,6,2,4,4,6,4,5,5,6,5,5,4,1,2,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,6,5,4,5,4,4,5
226,1,3,3,3,4,4,2,4,3,3,2,2,2,3,4,3,4,3,4,2,3,4,2,3,2,3,5,4,3,3,2,2,2,2,3,2,3
227,2,3,3,5,3,3,1,2,3,2,6,3,3,2,2,3,1,2,3,2,4,4,2,2,4,3,2,2,2,4,5,2,2,2,3,4,2
228,3,2,6,2,1,1,3,1,1,3,5,5,2,4,1,1,3,6,1,3,3,4,3,2,4,5,2,1,2,5,5,1,1,3,3,3,2
229,1,4,4,5,6,5,3,5,2,1,4,2,4,1,5,5,1,1,3,4,6,3,1,6,3,6,2,1,1,6,4,1,3,1,5,1,2
230,1,4,2,4,4,3,4,3,3,5,3,3,4,2,3,3,3,3,2,1,2,3,2,2,4,5,3,1,2,4,4,2,3,2,3,3,2
231,1,5,3,5,5,4,2,2,3,2,5,1,4,3,3,5,2,2,2,1,2,3,1,3,4,5,2,3,2,5,3,2,3,1,3,5,3
232,1,4,6,3,3,3,3,2,2,3,5,3,2,4,3,4,4,3,1,3,2,4,1,3,3,2,5,5,5,4,3,6,4,2,3,4,3
233,1,6,1,6,6,6,6,5,6,2,6,1,5,1,4,5,1,1,1,3,5,6,2,2,5,6,1,1,1,6,6,1,1,1,5,2,1
234,2,3,4,3,3,3,3,1,2,2,4,3,2,1,1,4,1,2,4,2,3,3,2,2,2,2,2,2,3,4,3,2,2,3,2,3,2
235,1,5,1,5,5,5,2,4,5,1,5,1,5,5,2,4,2,2,2,2,2,5,1,2,4,4,2,2,1,3,5,2,2,2,4,3,2
236,1,5,2,4,2,4,3,2,4,3,4,3,4,3,2,3,3,3,3,3,3,4,4,2,4,5,3,2,2,4,3,3,2,3,3,4,3
237,2,5,4,4,5,4,2,5,3,2,5,2,4,2,5,2,5,3,2,5,3,5,2,2,2,5,3,3,2,2,5,3,3,2,4,4,2
238,1,6,2,4,6,5,1,6,5,3,5,3,6,1,3,4,1,2,3,3,2,5,2,3,5,5,3,3,1,5,4,2,3,3,3,2,3
239,1,4,4,5,4,4,3,2,3,3,4,4,4,3,4,3,3,4,3,3,5,4,2,2,4,3,3,1,3,2,4,3,2,3,3,2,2
240,1,5,3,4,5,3,3,5,5,3,5,3,4,3,2,5,2,3,2,4,3,5,2,3,5,5,4,3,3,4,5,4,4,3,2,4,3
241,2,4,3,5,4,3,3,5,4,2,5,3,4,2,2,5,3,2,1,2,2,4,2,2,5,4,3,2,3,4,5,3,3,2,3,3,3
242,2,4,5,4,3,4,4,2,3,2,4,3,4,3,2,3,4,4,2,3,3,4,2,2,3,3,4,2,3,3,3,4,4,2,2,2,4
243,1,5,2,6,5,4,2,5,5,3,5,3,5,1,5,4,1,2,1,3,2,5,2,2,5,4,4,2,3,4,3,3,4,1,2,2,3
244,1,5,1,6,5,6,2,5,5,2,5,3,6,2,3,6,2,2,2,2,1,5,3,2,5,4,2,1,2,5,6,2,2,1,5,3,1
245,1,5,5,5,5,5,3,2,4,2,5,3,3,5,4,4,2,4,2,4,2,6,3,2,4,4,4,5,2,5,5,3,3,2,4,3,2
246,2,4,2,5,2,3,5,3,4,5,2,2,4,2,2,5,2,3,3,3,2,2,2,3,3,5,3,3,4,4,5,4,3,2,3,4,3
247,1,5,2,5,4,2,2,4,3,3,5,1,3,2,4,3,1,3,3,3,2,4,2,3,3,3,3,2,2,4,5,3,2,2,3,2,3
